Name,KM,Fuel Type,Manufacturing Year,Registration Year,No of Owners,Transmission,Color,Location,Engine Capacity (cc),Mileage (kmpl),Length (mm),Width (mm),Height (mm),Wheelbase (mm),Seating Capacity,Fuel Tank Capacity (L),Seat Belt Warning,Heater,Cruise Control,Child Safety Lock,Speed Sensing Door Lock,Rain-sensing Wipers,Rear Wiper,New Car Price (Lakh),Old Car Price (Lakh),IMG
2023 Mahindra Thar LX Hard Top Diesel MT 4WD,49061,Diesel,2023,2023,First,Manual,Black,"Jivraj Park, Ahmedabad",2184.0,15.0,3985,1820,1844,2450,4,57.0,1,1,1,0,1,0,0,16.99,13.87,https://imgd.aeplcdn.com/640X480/vimages/202607/4674036_133865_1_1784024097452.jpg?qp=80&fit=true
2021 Mahindra Thar LX Hard Top Petrol AT,33980,Petrol,2021,2021,Third,Automatic,Red,"Mumatpura, Ahmedabad",1997.0,12.5,3985,1820,1844,2450,4,57.0,1,1,1,0,1,0,0,17.97,10.55,https://imgd.aeplcdn.com/640X480/vimages/202606/4628427_138023_1_1781957345056.jpg?qp=80&fit=true
2022 Mahindra Thar LX Hard Top Diesel MT,78882,Diesel,2022,2022,First,Manual,Green,"Jivraj Park, Ahmedabad",2184.0,15.0,3985,1820,1844,2450,4,57.0,1,1,1,0,1,0,0,16.91,12.48,https://imgd.aeplcdn.com/640X480/vimages/202606/4643140_133865_1_1782585342893.jpg?qp=80&fit=true
2021 Mahindra Thar LX Hard Top Petrol AT,16784,Petrol,2021,2021,First,Automatic,Grey,"Mumatpura, Ahmedabad",1997.0,12.5,3985,1820,1844,2450,4,57.0,1,1,1,0,1,0,0,17.97,12.11,https://imgd.aeplcdn.com/640X480/vimages/202606/4646192_138023_1_1782742925130.jpg?qp=80&fit=true
2024 Mahindra XUV 3XO AX5 Petrol 1.2L Turbo Automatic (TC),22200,Petrol,2024,2024,First,Automatic,White,"Makarba, Ahmedabad",1197.0,17.96,3990,1821,1647,2600,5,42.0,1,1,1,1,1,1,1,13.21,11.07,https://imgd.aeplcdn.com/640X480/vimages/202606/4631931_3609_1782132230322.jpg?qp=80&fit=true
2024 Mahindra XUV 3XO AX7L Petrol 1.2L Turbo Automatic (TC) Dual Tone,11307,Petrol,2024,2024,First,Automatic,Black,"Motera, Ahmedabad",1197.0,18.2,3990,1821,1647,2600,5,42.0,1,1,0,1,1,1,1,16.7,14.15,https://imgd.aeplcdn.com/640X480/image/used/awppwujnym4l.jpeg?qp=80&fit=true
2024 Mahindra XUV 3XO AX5 Petrol 1.2L Turbo Manual,4400,Petrol,2024,2024,First,Manual,Black,"Makarba, Ahmedabad",1197.0,18.89,3990,1821,1647,2600,5,42.0,1,1,1,1,1,1,1,11.49,9.87,https://imgd.aeplcdn.com/640X480/vimages/202606/4646074_72787_1_1782739387808.jpg?qp=80&fit=true
2026 Mahindra XUV 3XO AX5 Diesel 1.5L Turbo Manual,7200,Diesel,2026,2026,First,Manual,Black,"Kalupur, Ahmedabad",1497.0,20.6,3990,1821,1647,2600,5,42.0,1,1,1,1,1,1,1,12.68,13.03,https://imgd.aeplcdn.com/640X480/vimages/202606/4609673_7888_1_1781113000820.jpg?qp=80&fit=true
2023 Mahindra XUV300 W8 (O) 1.5 Diesel AMT,35164,Diesel,2023,2023,First,Automatic,Grey,"Gota, Ahmedabad",1497.0,17.75,3995,1821,1627,2600,5,42.0,1,1,1,1,1,1,1,16.74,11.71,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1780464725553.jpg?qp=80&fit=true
2021 Mahindra XUV300 W6 1.2 Petrol AMT [2021],62028,Petrol,2021,2021,First,Automatic,Grey,"Mumatpura, Ahmedabad",1197.0,17.0,3995,1821,1627,2600,5,42.0,1,1,0,1,1,0,0,11.96,7.12,https://imgd.aeplcdn.com/640X480/vimages/202607/4662136_138023_1_1783441805110.jpg?qp=80&fit=true
2021 Mahindra XUV300 W8 1.2 Petrol [2019],98307,Petrol,2021,2021,Second,Manual,White,"Enasan, Ahmedabad",1197.0,17.0,3995,1821,1627,2600,5,42.0,1,1,1,1,1,1,1,12.7,6.59,https://imgd.aeplcdn.com/640X480/vimages/202606/4648689_119938_1_1782835207240.jpg?qp=80&fit=true
2022 Mahindra XUV300 W8 (O) 1.5 Diesel [2020],32713,Diesel,2022,2022,First,Manual,Blue,"Gota, Ahmedabad",1497.0,20.0,3995,1821,1627,2600,5,42.0,1,1,1,1,1,1,1,15.0,9.95,https://imgd.aeplcdn.com/640X480/vimages/202607/0_165002_1_1783086541782.jpg?qp=80&fit=true
2016 Mahindra XUV500 W8 AT [2015-2017],67000,Diesel,2016,2016,First,Automatic,White,"Vastrapur, Ahmedabad",2179.0,13.85,4585,1890,1785,2700,7,70.0,1,1,1,1,1,1,1,18.85,7.68,https://imgd.aeplcdn.com/640X480/vimages/202606/4646920_156728_1782801548296.jpeg?qp=80&fit=true
2019 Mahindra XUV500 W9 [2018-2020],117000,Diesel,2019,2019,First,Manual,Silver,"Behrampura, Ahmedabad",2179.0,15.1,4585,1890,1785,2700,7,70.0,1,1,1,1,1,1,1,17.92,10.09,https://imgd.aeplcdn.com/640X480/blur/image/used/9gs646p2mgul.jpg?qp=80&fit=true
2023 Mahindra XUV700 AX 7 Petrol MT 7 STR [2021],63989,Petrol,2023,2023,First,Manual,White,"Enasan, Ahmedabad",1997.0,13.5,4695,1890,1755,2750,7,60.0,1,1,1,1,1,1,1,22.08,16.36,https://imgd.aeplcdn.com/640X480/vimages/202607/4651889_119938_1_1782980705636.jpg?qp=80&fit=true
2022 Mahindra XUV700 AX 5 Diesel AT 5 STR [2021],60347,Diesel,2022,2022,First,Automatic,Silver,"Makarba, Ahmedabad",2184.0,,4695,1890,1755,2750,5,60.0,1,1,0,1,1,0,1,22.26,15.68,https://imgd.aeplcdn.com/640X480/vimages/202606/4600970_6145_1_1780730775028.jpg?qp=80&fit=true
2023 Mahindra XUV700 AX 7 Diesel AT 7 STR [2023-2024],34269,Diesel,2023,2023,First,Automatic,Blue,"Jivraj Park, Ahmedabad",2184.0,11.8,4695,1890,1755,2750,7,60.0,1,1,0,1,1,1,1,26.28,21.82,https://imgd.aeplcdn.com/640X480/vimages/202607/4672470_133865_1_1783944436273.jpg?qp=80&fit=true
2022 Mahindra XUV700 AX 7 Petrol AT Luxury Pack 7 STR [2021],55315,Petrol,2022,2022,First,Automatic,Silver,"Gota, Ahmedabad",1997.0,12.75,4695,1890,1755,2750,7,60.0,1,1,0,1,1,1,1,26.13,18.17,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1781578622770.jpg?qp=80&fit=true
2022 Mahindra XUV700 AX 5 Petrol AT 5 STR [2021],73096,Petrol,2022,2022,First,Automatic,Silver,"Gota, Ahmedabad",1997.0,12.0,4695,1890,1755,2750,5,60.0,1,1,0,1,1,0,1,21.09,13.58,https://imgd.aeplcdn.com/640X480/vimages/202607/0_165002_1_1783685705043.jpg?qp=80&fit=true
2024 Mahindra XUV700 AX7 Luxury Pack 2WD Diesel 2.2L Turbo Automatic 7 STR,52000,Diesel,2024,2024,First,Automatic,Silver,"Kalupur, Ahmedabad",2184.0,11.8,4695,1890,1755,2750,7,60.0,1,1,0,1,1,1,1,25.06,21.75,https://imgd.aeplcdn.com/640X480/vimages/202606/4620851_7888_1_1781665351519.jpg?qp=80&fit=true
2015 Maruti Suzuki Alto 800 Lxi,37340,Petrol,2015,2015,First,Manual,White,"Enasan, Ahmedabad",796.0,22.74,3395,1490,1475,2360,5,35.0,0,1,0,1,0,0,0,3.61,2.3,https://imgd.aeplcdn.com/640X480/vimages/202605/4589795_119938_1_1780242305038.jpg?qp=80&fit=true
2014 Maruti Suzuki Alto 800 Lxi,55017,Petrol,2014,2014,Third,Manual,White,"Mumatpura, Ahmedabad",796.0,22.74,3395,1490,1475,2360,5,35.0,0,1,0,1,0,0,0,3.61,1.87,https://imgd.aeplcdn.com/640X480/vimages/202605/4552525_138023_1_1778587445116.jpg?qp=80&fit=true
2015 Maruti Suzuki Alto 800 Vxi,21709,Petrol,2015,2015,First,Manual,Grey,"Mumatpura, Ahmedabad",796.0,22.74,3395,1490,1475,2360,5,35.0,0,1,0,1,1,0,0,3.77,2.4,https://imgd.aeplcdn.com/640X480/vimages/202605/4550877_138023_1_1778506147638.jpg?qp=80&fit=true
2019 Maruti Suzuki Alto 800 LXi,28497,Petrol,2019,2019,First,Manual,Grey,"Gota, Ahmedabad",796.0,22.0,3445,1515,1475,2360,5,35.0,1,1,0,1,0,0,0,4.45,3.28,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1782752342055.jpg?qp=80&fit=true
2016 Maruti Suzuki Alto 800 LXi,104016,Petrol,2016,2016,First,Manual,White,"Gota, Ahmedabad",796.0,24.7,3430,1490,1475,2360,5,35.0,0,1,0,1,0,0,0,3.73,2.34,https://imgd.aeplcdn.com/640X480/vimages/202605/0_165002_1_1779275823287.jpg?qp=80&fit=true
2015 Maruti Suzuki Alto 800 Lxi,35667,Petrol,2015,2015,First,Manual,White,"Gota, Ahmedabad",796.0,22.74,3395,1490,1475,2360,5,35.0,0,1,0,1,0,0,0,3.61,2.32,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1782644341278.jpg?qp=80&fit=true
2018 Maruti Suzuki Alto 800 LXi,73792,Petrol,2018,2018,First,Manual,White,"Mumatpura, Ahmedabad",796.0,24.7,3430,1490,1475,2360,5,35.0,0,1,0,1,0,0,0,3.73,2.7,https://imgd.aeplcdn.com/640X480/vimages/202605/4538188_138023_1_1777931305296.jpg?qp=80&fit=true
2021 Maruti Suzuki Alto 800 LXi (O),54556,Petrol,2021,2021,First,Manual,White,"Gota, Ahmedabad",796.0,22.05,3445,1515,1475,2360,5,35.0,1,1,0,1,0,0,0,4.79,3.45,https://imgd.aeplcdn.com/640X480/vimages/202607/0_165002_1_1783399562177.jpg?qp=80&fit=true
2020 Maruti Suzuki Alto 800 LXi,25627,Petrol,2020,2020,First,Manual,White,"Gota, Ahmedabad",796.0,22.0,3445,1515,1475,2360,5,35.0,1,1,0,1,0,0,0,4.45,3.45,https://imgd.aeplcdn.com/640X480/vimages/202607/0_165002_1_1783087444621.jpg?qp=80&fit=true
2019 Maruti Suzuki Alto 800 LXi,31027,Petrol,2019,2019,First,Manual,Silver,"Mumatpura, Ahmedabad",796.0,22.0,3445,1515,1475,2360,5,35.0,1,1,0,1,0,0,0,4.45,3.28,https://imgd.aeplcdn.com/640X480/vimages/202606/4603357_138023_1_1780837865620.jpg?qp=80&fit=true
2013 Maruti Suzuki Alto 800 Lxi,81515,Petrol,2013,2013,First,Manual,Silver,"Gota, Ahmedabad",796.0,22.74,3395,1490,1475,2360,5,35.0,0,1,0,1,0,0,0,3.61,2.0,https://imgd.aeplcdn.com/640X480/vimages/202605/0_165002_1_1779945843676.jpg?qp=80&fit=true
2015 Maruti Suzuki Alto 800 Lxi,88616,Petrol,2015,2015,First,Manual,White,"Mumatpura, Ahmedabad",796.0,22.74,3395,1490,1475,2360,5,35.0,0,1,0,1,0,0,0,3.61,2.24,https://imgd.aeplcdn.com/640X480/vimages/202605/4556146_138023_1_1778758265697.jpg?qp=80&fit=true
2024 Maruti Suzuki Alto K10 VXi Plus (O) [2024-2025],13909,Petrol,2024,2024,First,Manual,White,"Mumatpura, Ahmedabad",998.0,24.39,3530,1490,1520,2380,5,27.0,1,1,0,1,1,0,0,6.09,4.79,https://imgd.aeplcdn.com/640X480/vimages/202607/4674987_138023_1_1784044625475.jpg?qp=80&fit=true
2023 Maruti Suzuki Alto K10 VXi AGS [2023-2024],13401,Petrol,2023,2023,First,Automatic,White,"Gota, Ahmedabad",998.0,24.9,3530,1490,1520,2380,5,27.0,1,1,0,1,1,0,0,6.23,4.45,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1782822182845.jpg?qp=80&fit=true
2016 Maruti Suzuki Alto VXi AMT [2014-2018],61396,Petrol,2016,2016,Second,Automatic,Grey,"Gota, Ahmedabad",998.0,24.07,3545,1490,1475,2360,5,35.0,0,1,0,1,1,0,0,4.56,2.79,https://imgd.aeplcdn.com/640X480/vimages/202607/0_165002_1_1783400523407.jpg?qp=80&fit=true
2016 Maruti Suzuki Alto VXi [2014-2019],79319,Petrol,2016,2016,Second,Manual,Silver,"Mumatpura, Ahmedabad",998.0,24.07,3545,1490,1475,2360,5,35.0,0,1,0,1,1,0,0,4.28,2.56,https://imgd.aeplcdn.com/640X480/vimages/202605/4553220_138023_1_1778652245088.png?qp=80&fit=true
2019 Maruti Suzuki Alto VXi,48518,Petrol,2019,2019,Second,Manual,Grey,"Mumatpura, Ahmedabad",998.0,23.95,3545,1490,1475,2360,5,35.0,1,1,0,1,0,0,0,4.71,3.08,https://imgd.aeplcdn.com/640X480/vimages/202606/4606385_138023_1_1780991408753.jpg?qp=80&fit=true
2016 Maruti Suzuki Alto VXi [2014-2019],79319,Petrol,2016,2016,Second,Manual,Silver,"Enasan, Ahmedabad",998.0,24.07,3545,1490,1475,2360,5,35.0,0,1,0,1,1,0,0,4.28,2.56,https://imgd.aeplcdn.com/640X480/vimages/202606/4624449_119938_1_1781786345050.png?qp=80&fit=true
2019 Maruti Suzuki Baleno Zeta 1.2 AT,28722,Petrol,2019,2019,Second,Automatic,Grey,"Gota, Ahmedabad",1197.0,21.4,3995,1745,1500,2520,5,37.0,1,1,0,1,1,0,1,8.72,5.46,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1782381425637.jpg?qp=80&fit=true
2020 Maruti Suzuki Baleno Zeta,72128,Petrol,2020,2020,First,Manual,Blue,"Bopal, Ahmedabad",1197.0,21.01,3995,1745,1510,2520,5,37.0,1,1,0,1,1,0,1,8.62,5.69,https://imgd.aeplcdn.com/640X480/vimages/202606/4638382_113237_1_1782389720268.jpg?qp=80&fit=true
2017 Maruti Suzuki Baleno Delta 1.2,69894,Petrol,2017,2017,First,Manual,Grey,"Gota, Ahmedabad",1197.0,21.4,3995,1745,1500,2520,5,37.0,1,1,0,1,1,0,1,6.92,4.52,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1782381421588.jpg?qp=80&fit=true
2022 Maruti Suzuki Baleno Zeta AGS [2022-2023],48594,Petrol,2022,2022,First,Automatic,Silver,"Jivraj Park, Ahmedabad",1197.0,22.9,3990,1745,1500,2520,5,37.0,1,1,0,1,1,0,1,9.9,6.57,https://imgd.aeplcdn.com/640X480/vimages/202607/4672318_133865_1_1783941566935.jpg?qp=80&fit=true
2018 Maruti Suzuki Baleno Alpha 1.2 AT,73963,Petrol,2018,2018,Second,Automatic,Blue,"Gota, Ahmedabad",1197.0,21.4,3995,1745,1500,2520,5,37.0,1,1,0,1,1,0,1,9.5,5.18,https://imgd.aeplcdn.com/640X480/vimages/202607/0_165002_1_1783403645380.jpg?qp=80&fit=true
2017 Maruti Suzuki Baleno Delta 1.2,28711,Petrol,2017,2017,First,Manual,Blue,"Gota, Ahmedabad",1197.0,21.4,3995,1745,1500,2520,5,37.0,1,1,0,1,1,0,1,6.92,4.67,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1782381305900.jpg?qp=80&fit=true
2018 Maruti Suzuki Baleno Zeta 1.2,27715,Petrol,2018,2018,First,Manual,Grey,"Gota, Ahmedabad",1197.0,21.4,3995,1745,1500,2520,5,37.0,1,1,0,1,1,0,1,7.58,5.2,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1782474421828.jpg?qp=80&fit=true
2023 Maruti Suzuki Baleno Zeta Petrol Automatic (AMT),43352,Petrol,2023,2023,First,Automatic,Blue,"Jivraj Park, Ahmedabad",1197.0,22.9,3990,1745,1500,2520,5,37.0,1,1,0,1,1,0,1,9.16,7.25,https://imgd.aeplcdn.com/640X480/vimages/202607/4672299_133865_1_1783941245520.jpg?qp=80&fit=true
2018 Maruti Suzuki Baleno RS 1.0,45000,Petrol,2018,2018,First,Manual,Blue,"Ambli, Ahmedabad",998.0,21.1,3995,1745,1510,2520,5,37.0,1,1,0,1,1,0,1,9.51,5.62,https://imgd.aeplcdn.com/640X480/vimages/202607/4663048_16599_1_1783503317759.jpg?qp=80&fit=true
2018 Maruti Suzuki Baleno Delta 1.2,47475,Petrol,2018,2018,First,Manual,Blue,"Gota, Ahmedabad",1197.0,21.4,3995,1745,1500,2520,5,37.0,1,1,0,1,1,0,1,6.92,4.84,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1780984086846.jpg?qp=80&fit=true
2020 Maruti Suzuki Baleno Zeta,67026,Petrol,2020,2020,Second,Manual,Grey,"Mumatpura, Ahmedabad",1197.0,21.01,3995,1745,1510,2520,5,37.0,1,1,0,1,1,0,1,8.62,5.32,https://imgd.aeplcdn.com/640X480/vimages/202605/4549671_138023_1_1778478845713.jpg?qp=80&fit=true
2015 Maruti Suzuki Celerio VXi,91287,Petrol,2015,2015,First,Manual,White,"Enasan, Ahmedabad",998.0,23.1,3600,1600,1560,2425,5,35.0,0,1,0,1,1,0,0,4.85,3.05,https://imgd.aeplcdn.com/640X480/vimages/202604/4474593_119938_1_1775050325170.jpg?qp=80&fit=true
2015 Maruti Suzuki Celerio VXi AMT,44638,Petrol,2015,2015,Third,Automatic,White,"Gota, Ahmedabad",998.0,23.1,3600,1600,1560,2425,5,35.0,0,1,0,1,1,0,0,5.36,2.91,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1780727766678.jpg?qp=80&fit=true
2022 Maruti Suzuki Celerio ZXi Plus AMT [2021-2023],42023,Petrol,2022,2022,First,Automatic,Red,"Gota, Ahmedabad",998.0,26.0,3695,1655,1555,2435,5,32.0,1,1,0,1,1,0,1,7.87,5.57,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1782750362811.jpg?qp=80&fit=true
2020 Maruti Suzuki Celerio VXi,16674,Petrol,2020,2020,First,Manual,White,"Enasan, Ahmedabad",998.0,21.63,3695,1600,1560,2425,5,35.0,1,1,0,1,0,0,0,5.64,4.32,https://imgd.aeplcdn.com/640X480/vimages/202607/4664937_119938_1_1783592765990.jpg?qp=80&fit=true
2015 Maruti Suzuki Celerio ZXi AMT,44209,Petrol,2015,2015,First,Automatic,White,"Gota, Ahmedabad",998.0,23.1,3600,1600,1560,2425,5,35.0,1,1,0,1,1,0,1,5.68,3.39,https://imgd.aeplcdn.com/640X480/vimages/202607/0_165002_1_1783089542967.jpg?qp=80&fit=true
2017 Maruti Suzuki Celerio ZXi (O) AMT [2017-2019],64515,Petrol,2017,2017,Second,Automatic,White,"Gota, Ahmedabad",998.0,23.1,3600,1600,1560,2425,5,35.0,1,1,0,1,1,0,1,6.21,3.84,https://imgd.aeplcdn.com/640X480/vimages/202607/0_165002_1_1783402563696.jpg?qp=80&fit=true
2017 Maruti Suzuki Celerio ZXi AMT [2017-2019],51689,Petrol,2017,2017,First,Automatic,Grey,"Gota, Ahmedabad",998.0,23.1,3600,1600,1560,2425,5,35.0,1,1,0,1,1,0,1,6.11,4.07,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1782381485568.jpg?qp=80&fit=true
2014 Maruti Suzuki Celerio ZXi,89894,Petrol,2014,2014,First,Manual,White,"Gota, Ahmedabad",998.0,23.1,3600,1600,1560,2425,5,35.0,1,1,0,1,1,0,1,5.18,2.94,https://imgd.aeplcdn.com/640X480/vimages/202607/0_165002_1_1783086242383.jpg?qp=80&fit=true
2022 Maruti Suzuki Ciaz Alpha 1.5 AT [2020-2023],49958,Petrol,2022,2022,Second,Automatic,White,"Gota, Ahmedabad",1462.0,20.0,4490,1730,1485,2650,5,43.0,1,1,1,1,1,0,0,13.58,8.55,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1782381366551.jpg?qp=80&fit=true
2018 Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],68000,Petrol,2018,2018,First,Automatic,Grey,"Ambli, Ahmedabad",1462.0,20.28,4490,1730,1485,2650,5,43.0,1,1,1,1,1,0,0,12.13,6.34,https://imgd.aeplcdn.com/640X480/vimages/202607/4663068_16599_1_1783503828635.jpg?qp=80&fit=true
2020 Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],89989,Petrol,2020,2020,First,Automatic,Red,"Mumatpura, Ahmedabad",1462.0,20.28,4490,1730,1485,2650,5,43.0,1,1,1,1,1,0,0,12.13,7.29,https://imgd.aeplcdn.com/640X480/vimages/202606/4622495_138023_1_1781704207280.jpg?qp=80&fit=true
2018 Maruti Suzuki Ciaz Delta 1.3 Diesel,98833,Diesel,2018,2018,Second,Manual,Silver,"Mumatpura, Ahmedabad",1248.0,28.09,4490,1730,1485,2650,5,43.0,1,1,1,1,1,0,0,10.8,5.89,https://imgd.aeplcdn.com/640X480/vimages/202607/4661636_138023_1_1783423265642.jpg?qp=80&fit=true
2019 Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],56082,Petrol,2019,2019,First,Automatic,Black,"Gota, Ahmedabad",1462.0,20.28,4490,1730,1485,2650,5,43.0,1,1,1,1,1,0,0,12.13,6.98,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1782476462039.jpg?qp=80&fit=true
2018 Maruti Suzuki Ciaz Delta Hybrid 1.5 [2018-2020],75263,Petrol,2018,2018,First,Manual,White,"Bopal, Ahmedabad",1462.0,21.56,4490,1730,1485,2650,5,43.0,1,1,1,1,1,0,0,9.7,5.55,https://imgd.aeplcdn.com/640X480/vimages/202605/4533688_113237_1_1777717456574.jpg?qp=80&fit=true
2018 Maruti Suzuki Ciaz Alpha 1.4 MT,62703,Petrol,2018,2018,First,Manual,Grey,"Mumatpura, Ahmedabad",1373.0,20.73,4490,1730,1485,2650,5,43.0,1,1,0,1,1,0,0,10.46,5.86,https://imgd.aeplcdn.com/640X480/vimages/202605/4545788_138023_1_1778242113908.jpg?qp=80&fit=true
2018 Maruti Suzuki DZire VXi AMT,76599,Petrol,2018,2018,Second,Automatic,White,"Mumatpura, Ahmedabad",1197.0,21.21,3995,1735,1515,2450,5,37.0,1,1,0,1,1,0,0,8.22,4.9,https://imgd.aeplcdn.com/640X480/vimages/202607/4671905_138023_1_1783932005091.jpg?qp=80&fit=true
2017 Maruti Suzuki DZire VXi,91710,Petrol,2017,2017,First,Manual,White,"Enasan, Ahmedabad",1197.0,21.21,3995,1735,1515,2450,5,37.0,1,1,0,1,1,0,0,7.8,4.49,https://imgd.aeplcdn.com/640X480/vimages/202603/4463205_119938_1_1774541165819.jpg?qp=80&fit=true
2018 Maruti Suzuki DZire ZDi Plus AMT,89402,Diesel,2018,2018,Second,Automatic,Brown,"Vastrapur, Ahmedabad",1248.0,28.4,3995,1735,1515,2450,5,37.0,1,1,0,1,1,0,0,10.82,6.03,https://imgd.aeplcdn.com/640X480/vimages/202607/4649732_156728_1782896661268.jpg?qp=80&fit=true
2020 Maruti Suzuki DZire VXi [2020-2023],46082,Petrol,2020,2020,First,Manual,White,"Bopal, Ahmedabad",1197.0,23.2,3995,1735,1515,2450,5,37.0,1,1,0,1,1,0,0,8.26,5.74,https://imgd.aeplcdn.com/640X480/vimages/202606/4622006_113237_1_1781694202664.jpg?qp=80&fit=true
2022 Maruti Suzuki DZire VXi AGS [2020-2023],37038,Petrol,2022,2022,First,Automatic,White,"Gota, Ahmedabad",1197.0,24.1,3995,1735,1515,2450,5,37.0,1,1,0,1,1,0,0,8.85,6.6,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1781152925696.jpg?qp=80&fit=true
2020 Maruti Suzuki DZire VXi [2020-2023],35404,Petrol,2020,2020,First,Manual,Blue,"Enasan, Ahmedabad",1197.0,23.2,3995,1735,1515,2450,5,37.0,1,1,0,1,1,0,0,8.26,5.81,https://imgd.aeplcdn.com/640X480/vimages/202607/4659080_119938_1_1783324508225.jpg?qp=80&fit=true
2025 Maruti Suzuki DZire VXi Petrol Automatic,18000,Petrol,2025,2025,First,Automatic,Black,"Thaltej, Ahmedabad",1197.0,25.71,3995,1735,1525,2450,5,37.0,1,1,0,1,1,0,0,8.51,7.81,https://imgd.aeplcdn.com/640X480/vimages/202606/4642234_6434_1_1782723487483.jpg?qp=80&fit=true
2019 Maruti Suzuki DZire VXi,77247,Petrol,2019,2019,First,Manual,Grey,"Mumatpura, Ahmedabad",1197.0,21.21,3995,1735,1515,2450,5,37.0,1,1,0,1,1,0,0,7.8,5.24,https://imgd.aeplcdn.com/640X480/vimages/202607/4673001_138023_1_1783961465380.jpg?qp=80&fit=true
2015 Maruti Suzuki Eeco 5 STR WITH A/C+HTR,16101,Petrol,2015,2015,First,Manual,White,"Gota, Ahmedabad",1196.0,16.11,3675,1475,1800,2350,5,40.0,1,1,0,1,0,0,0,5.3,3.27,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1782824941759.jpg?qp=80&fit=true
2021 Maruti Suzuki Eeco 7 STR,78429,Petrol,2021,2021,First,Manual,White,"Enasan, Ahmedabad",1196.0,16.11,3675,1475,1825,2350,7,40.0,1,1,0,1,0,0,0,5.18,4.56,https://imgd.aeplcdn.com/640X480/vimages/202607/4674118_119938_1_1784025245199.jpg?qp=80&fit=true
2022 Maruti Suzuki Eeco 7 STR STD (O),120631,Petrol,2022,2022,First,Manual,Grey,"Enasan, Ahmedabad",1196.0,16.1,3675,1475,1800,2350,5,40.0,1,1,0,1,0,0,0,5.59,4.52,https://imgd.aeplcdn.com/640X480/vimages/202607/4654945_119938_1_1783088225764.jpg?qp=80&fit=true
2020 Maruti Suzuki Ertiga ZXi Plus,83897,Petrol,2020,2020,First,Manual,Grey,"Enasan, Ahmedabad",1462.0,19.01,4395,1735,1690,2740,7,45.0,1,1,0,1,1,0,1,11.34,8.59,https://imgd.aeplcdn.com/640X480/vimages/202607/4658296_119938_1_1783259405075.jpg?qp=80&fit=true
2021 Maruti Suzuki Ertiga ZXi AT,22433,Petrol,2021,2021,First,Automatic,Grey,"Mumatpura, Ahmedabad",1462.0,17.99,4395,1735,1690,2740,7,45.0,1,1,0,1,1,0,1,12.11,9.73,https://imgd.aeplcdn.com/640X480/vimages/202606/4642703_138023_1_1782572945644.jpg?qp=80&fit=true
2023 Maruti Suzuki Ertiga VXi (O) CNG [2023-2025],83000,CNG,2023,2023,First,Manual,White,"Makarba, Ahmedabad",1462.0,18.01,4395,1735,1690,2740,7,45.0,1,1,0,1,1,0,0,12.33,10.21,https://imgd.aeplcdn.com/640X480/vimages/202607/4668311_72787_1_1783749423388.jpg?qp=80&fit=true
2023 Maruti Suzuki Ertiga VXi (O) CNG [2023-2025],45000,CNG,2023,2023,First,Manual,Brown,"Makarba, Ahmedabad",1462.0,18.01,4395,1735,1690,2740,7,45.0,1,1,0,1,1,0,0,12.33,10.58,https://imgd.aeplcdn.com/640X480/vimages/202607/4651758_72787_1_1782978383926.jpg?qp=80&fit=true
2024 Maruti Suzuki Ertiga ZXi Plus AT [2023-2025],16000,Petrol,2024,2024,First,Automatic,Silver,"Makarba, Ahmedabad",1462.0,20.3,4395,1735,1690,2740,7,45.0,1,1,1,1,1,0,1,14.77,12.35,https://imgd.aeplcdn.com/640X480/vimages/202607/4661858_3609_1783427784334.jpg?qp=80&fit=true
2023 Maruti Suzuki Ertiga VXi (O) CNG [2023-2025],82000,CNG,2023,2023,First,Manual,Silver,"Kalupur, Ahmedabad",1462.0,18.01,4395,1735,1690,2740,7,45.0,1,1,0,1,1,0,0,12.33,10.21,https://imgd.aeplcdn.com/640X480/vimages/202606/4624296_7888_1_1781783249344.jpg?qp=80&fit=true
